ex_client;nom;ex_adr1_tiers_facture;adresse;ex_adr2_tiers_facture;cp;ville;ex_ville;departement;localisation;concat_localisation;latitude;longitude;adresse_concat;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_dept;result_citycode
LEDERNE;AU GOUT DU TEMPS;AU GOUT DU TEMPS;104, Rue Bobillot;104 RUE BOBILLOT;75013;Paris;PARIS;75, Paris, Île-de-France;48.822684, 2.347014;48.822684, 2.347014;48.822684;2.347014;104, Rue Bobillot;104 Rue Bobillot 75013 Paris;0.95;housenumber;ADRNIVX_0000000270825239;104;Rue Bobillot;;75013.0;Paris;75, Paris, Île-de-France;75113.0
MOULINFRED;LES DOUCEURS DE MARIE;LES DOUCEURS DE MARIE;12, Rue René Brulay;12 RUE RENE BRULAY;78500;Sartrouville;SARTROUVILLE;78, Yvelines, Île-de-France;48.93575, 2.16361;48.93575, 2.16361;48.93575;2.16361;12, Rue René Brulay;12 Rue René Brulay 78500 Sartrouville;0.93;housenumber;ADRNIVX_0000000311545490;12;Rue René Brulay;;78500.0;Sartrouville;78, Yvelines, Île-de-France;78586.0
OZENNE;AU FOURNIL DE GWEN;AU FOURNIL DE GWEN;17, Rue des Ormessons;17 RUE DES ORMESSONS;77000;Vaux-le-Pénil;VAUX LE PENIL;77, Seine-et-Marne, Île-de-France;48.526047, 2.681711;48.526047, 2.681711;48.526047;2.681711;17, Rue des Ormessons;17 Rue des Ormessons 77000 Vaux-le-Pénil;0.91;housenumber;ADRNIVX_0000000272031320;17;Rue des Ormessons;;77000.0;Vaux-le-Pénil;77, Seine-et-Marne, Île-de-France;77487.0
JACQUESSEB;JACQUES SEBASTIEN;JACQUES SEBASTIEN;209, Avenue Charles de Gaulle;209 AVENUE CHARLES DE GAULLE;92200;Neuilly-sur-Seine;NEUILLY SUR SEINE;92, Hauts-de-Seine, Île-de-France;48.884836, 2.259067;48.884836, 2.259067;48.884836;2.259067;209, Avenue Charles de Gaulle;209 Avenue Charles de Gaulle 92200 Neuilly-sur-Seine;0.93;housenumber;ADRNIVX_0000000310496116;209;Avenue Charles de Gaulle;;92200.0;Neuilly-sur-Seine;92, Hauts-de-Seine, Île-de-France;92051.0
SAVASNIER2;LES SAVEURS D ASNIERES;LES SAVEURS D ASNIERES;24, Boulevard Voltaire;24 BOULEVARD VOLTAIRE;92600;Asnières-sur-Seine;ASNIERES SUR SEINE;92, Hauts-de-Seine, Île-de-France;48.912362, 2.296415;48.912362, 2.296415;48.912362;2.296415;24, Boulevard Voltaire;24 Boulevard Voltaire 92600 Asnières-sur-Seine;0.93;housenumber;ADRNIVX_0000000287097749;24;Boulevard Voltaire;;92600.0;Asnières-sur-Seine;92, Hauts-de-Seine, Île-de-France;92004.0
LAMBERTBRU;MAISON LAMBERT;MAISON LAMBERT;13, Rue de la Gare;13 RUE DE LA GARE;91800;Brunoy;BRUNOY;91, Essonne, Île-de-France;48.69826, 2.505134;48.69826, 2.505134;48.69826;2.505134;13, Rue de la Gare;13 Rue de la Gare 91800 Brunoy;0.92;housenumber;ADRNIVX_0000000271340854;13;Rue de la Gare;;91800.0;Brunoy;91, Essonne, Île-de-France;91114.0
BIDEL;LA COMTESSE DE TREVISE;;7 Ter, Avenue Ardouin;7 TER AVENUE ARDOUIN;94420;Le Plessis-Trévise;LE PLESSIS TREVISE;94, Val-de-Marne, Île-de-France;48.810028, 2.572834;48.810028, 2.572834;48.810028;2.572834;7 TER, Avenue Ardouin;7 TER Avenue Ardouin 94420 Le Plessis-Trévise;0.92;housenumber;ADRNIVX_0000002006466515;7 TER;Avenue Ardouin;;94420.0;Le Plessis-Trévise;94, Val-de-Marne, Île-de-France;94059.0
BYGDADE;BYGDADE;BYGDADE;18, Rue de Cherbourg;18 AVENUE DE CHERBOURG;94360;Bry-sur-Marne;BRY SUR MARNE;94, Val-de-Marne, Île-de-France;48.843167, 2.524094;48.843167, 2.524094;48.843167;2.524094;18, Rue de Cherbourg;18 Rue de Cherbourg 94360 Bry-sur-Marne;0.78;housenumber;ADRNIVX_0000000270870010;18;Rue de Cherbourg;;94360.0;Bry-sur-Marne;94, Val-de-Marne, Île-de-France;94015.0
MUMS;BOULANGERIE MUM S;BOULANGERIE MUM S;1, Rue du Général de Gaulle;1 RUE DU GENERAL DE GAULLE;95220;Herblay-sur-Seine;HERBLAY;95, Val-d'Oise, Île-de-France;48.990747, 2.167401;48.990747, 2.167401;48.990747;2.167401;1, Rue du Général de Gaulle;1 Rue du Général de Gaulle 95220 Herblay-sur-Seine;0.74;housenumber;ADRNIVX_0000000350527447;1;Rue du Général de Gaulle;;95220.0;Herblay-sur-Seine;95, Val-d'Oise, Île-de-France;95306.0
BARBA2;LA PETITE MARGOT;LA PETITE MARGOT;28, Avenue Gabriel Péri;28 AVENUE GABRIEL PERI;93160;Noisy-le-Grand;NOISY LE GRAND;93, Seine-Saint-Denis, Île-de-France;48.832065, 2.566657;48.832065, 2.566657;48.832065;2.566657;28, Avenue Gabriel Péri;28 Avenue Gabriel Péri 93160 Noisy-le-Grand;0.93;housenumber;ADRNIVX_0000000268350272;28;Avenue Gabriel Péri;;93160.0;Noisy-le-Grand;93, Seine-Saint-Denis, Île-de-France;93051.0
OUBOUYA;BOULANGERIE DE LA PLACE;BOULANGERIE DE LA PLACE;32, Place Notre-Dame;32 PLACE NOTRE DAME;95300;Pontoise;PONTOISE;95, Val-d'Oise, Île-de-France;49.049796, 2.091745;49.049796, 2.091745;49.049796;2.091745;32, Place Notre-Dame;32 Place Notre-Dame 95300 Pontoise;0.94;housenumber;ADRNIVX_0000000350572757;32;Place Notre-Dame;;95300.0;Pontoise;95, Val-d'Oise, Île-de-France;95500.0
PERAIN;LES DELICES DU PARADIS;LES DELICES DU PARADIS;8, Rue de la Ferme du Paradis;8 RUE DE LA FERME DU PARADIS;78250;Meulan-en-Yvelines;MEULAN;78, Yvelines, Île-de-France;49.012534, 1.918513;49.012534, 1.918513;49.012534;1.918513;8, Rue de la Ferme du Paradis;8 Rue de la Ferme du Paradis 78250 Meulan-en-Yvelines;0.77;housenumber;ADRNIVX_0000000269303721;8;Rue de la Ferme du Paradis;;78250.0;Meulan-en-Yvelines;78, Yvelines, Île-de-France;78401.0
